count,mae,rmse,max_error,mean_error,std_error,pearson_r,spearman_r,r_squared,enzyme,metal
5,10.327618507705006,19.741256252461035,43.91031207595741,-9.49299430702365,19.35201079707702,0.8598235465043746,0.7,0.7392965311233605,DMML,Mn
8,5.155965077864492,8.830021387964761,19.277016973386964,4.945381060718487,7.820302067691835,0.9775861327852342,0.9761904761904763,0.9556746470139895,CDO,Fe
3,1.7952184685193695,2.214612381098696,3.1524290134547,0.30640087378376385,2.6862501288208946,0.9967150932103427,1.0,0.9934409770333021,CoNHase,Co
4,3.114940136646169,4.505161133885979,8.239828167711973,-2.813503661580155,4.062950321880536,0.9709172861340187,1.0,0.942680376513848,NiSOD,Ni
6,7.061046771698301,8.150894009683514,12.612318671937327,0.7980456791987848,8.88595720793253,0.7420512054976189,0.14285714285714288,0.5506399915804695,Hc,Cu
8,0.34549968975121215,0.38617569094935794,0.6031774208364844,-0.1284605702649072,0.38932842715546373,0.9936471942388816,0.9761904761904763,0.9873347466188017,AAP,Zn
3,1.4911656393198076,1.7060606765422917,2.66292728188869,-0.8684002053519676,1.7985511316287073,0.9457374262145607,0.5,0.8944192793429416,PTE,Zn
9,8.38248365350001,13.715077393130652,31.83237205382197,-0.9163441166140657,14.514531305882704,0.6822905028750084,0.6666666666666667,0.4655203303134318,AH,W
4,3.096882880625171,3.5860805428352305,6.088785759789978,0.6545890751018124,4.071279373441683,0.985296169593662,1.0,0.9708085418159422,WFOR,W
5,8.345832577670672,9.966069715370141,14.797330022153673,-2.4269005688092022,10.806982650162547,0.859186386096774,0.8999999999999998,0.7382012460540348,MoCuCODH,Mo/Cu
